model,variant,RMSE,MAE,R2,MAPE
OLS,2025train_nolag,6853.241645160811,6430.831966259813,-0.17999355390312277,12.694149143546438
Ridge,2025train_nolag,6962.5319379746215,6499.330119289323,-0.21792892536758113,12.816576581242753
Lasso,2025train_nolag,6960.672353817083,6513.059743135166,-0.2172784324426449,12.85098986864811
Decision Tree,2025train_nolag,6691.246910669391,6308.130531681827,-0.12486824283240305,12.423011922116109
Random Forest,2025train_nolag,6630.430709164773,6391.682167677886,-0.10451349365513152,12.580396005720882
Gradient Boosting,2025train_nolag,6756.675961044116,6539.937233588747,-0.14697440598261857,12.887499558892868
SVR,2025train_nolag,6884.845637182538,6600.702393398055,-0.19090182088856822,12.913268176512585
MLP,2025train_nolag,6833.707389460409,6629.780372289242,-0.1732763108540265,13.014503455555035
OLS,2025train_lag,2843.1569131099304,2342.9856420309893,0.7968944028400701,4.540678917584766
Ridge,2025train_lag,2857.4426794511287,2347.953343476874,0.794848220586029,4.555222251398486
Lasso,2025train_lag,2926.528153387129,2403.8331535417487,0.7848082354601975,4.664096069456971
Decision Tree,2025train_lag,2920.730136989892,2273.582835135045,0.7856600635386581,4.325962187949857
Random Forest,2025train_lag,2843.8164422715236,2480.271042310225,0.7968001628068855,4.73070790725318
Gradient Boosting,2025train_lag,2431.3477057693162,2055.7301728329808,0.8514699330116395,3.9759972419536154
SVR,2025train_lag,2360.083578423833,1895.2068514892944,0.8600493241794986,3.6705244942341286
MLP,2025train_lag,2830.2806401758626,2373.081067374718,0.7987299125513849,4.638763125661169
OLS,2025train_trend,2352.3643500020944,1839.9265445447636,0.870738796773838,3.553685793029561
Ridge,2025train_trend,2842.804959206427,2275.4739289145386,0.8112212331339801,4.431886336491071
Lasso,2025train_trend,2609.1188954548425,2064.8862490599404,0.8409818282163192,4.035466468411665
Decision Tree,2025train_trend,2699.608884514123,2059.5552049161643,0.8297603516196143,3.964162919288931
Random Forest,2025train_trend,2569.058656733558,2180.2456285205863,0.8458274497064474,4.136146171840269
Gradient Boosting,2025train_trend,1886.551357750703,1524.3015714486448,0.9168626301097356,2.905651955526891
SVR,2025train_trend,1669.942928660894,1227.2303283402875,0.9348578220866095,2.3379584384268637
MLP,2025train_trend,1560.0120647961169,1193.8425251677852,0.9431520340105551,2.2962459096561925
OLS,2025train_lag_trend,1933.9362887517414,1479.02378555302,0.9060266824167221,2.8714803769664337
Ridge,2025train_lag_trend,2145.3460880060547,1674.0321814696895,0.8843581690190353,3.2687092451209523
Lasso,2025train_lag_trend,2047.939377435008,1603.8189450242776,0.8946209140680925,3.1256289235201824
Decision Tree,2025train_lag_trend,2470.6953776242663,1858.9250681545036,0.8466235648971581,3.571629229943072
Random Forest,2025train_lag_trend,1837.5661097246177,1473.8072668535692,0.9151589218165809,2.810196874057243
Gradient Boosting,2025train_lag_trend,1446.510541125257,1117.8894140495904,0.9474269177506738,2.1488437009254624
SVR,2025train_lag_trend,1378.3837194387695,1001.9647657939046,0.9522624085187468,1.9113037070554209
MLP,2025train_lag_trend,1474.9519013596962,1094.9545084659949,0.9453392042268672,2.1361644191164935
